project_id,fiscal_year,fiscal_month,budget_amount,forecast_amount,actual_amount,capex_opex
PJ-300-01-03,2027,9,246225.72,252564.65,259690.51,OPEX
PJ-300-01-03,2027,10,219249.17,222598.06,178188.32,OPEX
PJ-300-01-03,2027,11,215515.2,193265.9,154218.98,OPEX
PJ-300-01-03,2027,12,235162.49,252130.19,202241.0,CAPEX
PJ-300-01-04,2027,1,176525.75,176147.3,156336.74,OPEX
PJ-300-01-04,2027,2,160693.72,171573.74,159289.05,OPEX
PJ-300-01-04,2027,3,166086.75,164579.1,170423.64,OPEX
PJ-300-01-04,2027,4,148385.88,136597.17,122362.25,OPEX
PJ-300-01-04,2027,5,170213.74,195468.35,193673.03,CAPEX
PJ-300-01-04,2027,6,160843.06,157344.12,154111.78,CAPEX
PJ-300-01-04,2027,7,166680.38,182665.64,147900.57,OPEX
PJ-300-01-04,2027,8,139783.31,158216.39,120410.53,CAPEX
PJ-300-01-04,2027,9,141799.97,147923.5,132624.23,OPEX
PJ-300-01-04,2027,10,165231.5,170492.41,174113.72,OPEX
PJ-300-01-04,2027,11,173780.31,200240.06,154544.97,CAPEX
PJ-300-01-04,2027,12,157175.05,170932.28,187913.21,OPEX
PJ-300-01-05,2027,1,217007.49,267781.52,243917.43,OPEX
PJ-300-01-05,2027,2,228462.25,258178.65,272037.43,OPEX
PJ-300-01-05,2027,3,232775.37,221401.44,185153.97,OPEX
PJ-300-01-05,2027,4,206735.11,256346.77,218962.46,OPEX
PJ-300-01-05,2027,5,239185.52,271568.55,250155.67,OPEX
PJ-300-01-05,2027,6,215113.22,263614.62,271099.13,OPEX
PJ-300-01-05,2027,7,210988.68,230438.97,216639.54,OPEX
PJ-300-01-05,2027,8,246856.56,304424.82,314049.37,OPEX
PJ-300-01-05,2027,9,194377.75,239758.36,186450.56,OPEX
PJ-300-01-05,2027,10,235877.92,272796.41,225028.5,OPEX
PJ-300-01-05,2027,11,254606.69,289636.34,231142.99,CAPEX
PJ-300-01-05,2027,12,207924.27,234505.01,219464.92,CAPEX
PJ-300-02-01,2027,1,52815.52,52932.17,48451.0,CAPEX
PJ-300-02-01,2027,2,51104.83,55378.75,59542.4,OPEX
PJ-300-02-01,2027,3,62766.28,75686.06,69365.89,CAPEX
PJ-300-02-01,2027,4,64621.03,63734.47,54167.63,CAPEX
PJ-300-02-01,2027,5,67358.11,61504.72,58487.71,CAPEX
PJ-300-02-01,2027,6,67453.4,63728.22,67474.53,CAPEX
PJ-300-02-01,2027,7,67825.96,60598.81,63184.63,OPEX
PJ-300-02-01,2027,8,54365.91,62908.49,66387.44,OPEX
PJ-300-02-01,2027,9,66796.5,59009.95,55987.85,CAPEX
PJ-300-02-01,2027,10,67727.52,67996.1,61809.96,OPEX
PJ-300-02-01,2027,11,67021.85,62307.13,57725.96,OPEX
PJ-300-02-01,2027,12,54482.94,50215.8,40517.77,OPEX
PJ-300-02-02,2027,1,248724.0,236012.63,237857.37,OPEX
PJ-300-02-02,2027,2,273713.62,317561.07,257676.43,OPEX
PJ-300-02-02,2027,3,294574.11,315386.91,246114.77,CAPEX
PJ-300-02-02,2027,4,242890.69,226380.53,195425.39,CAPEX
PJ-300-02-02,2027,5,228569.61,233580.43,211707.36,OPEX
PJ-300-02-02,2027,6,304798.39,302274.65,303184.16,CAPEX
PJ-300-02-02,2027,7,249069.11,252315.55,210104.65,CAPEX
PJ-300-02-02,2027,8,265473.82,249305.2,246843.5,OPEX
PJ-300-02-02,2027,9,283572.87,316558.97,341637.55,OPEX
PJ-300-02-02,2027,10,277483.53,266683.2,212479.6,CAPEX
PJ-300-02-02,2027,11,264635.54,329701.49,290390.75,OPEX
PJ-300-02-02,2027,12,288969.71,340041.68,353290.12,CAPEX
PJ-300-02-03,2027,1,300820.44,361905.03,281799.02,OPEX
PJ-300-02-03,2027,2,281825.34,285731.55,306028.68,CAPEX
PJ-300-02-03,2027,3,242721.57,262777.7,243574.03,CAPEX
PJ-300-02-03,2027,4,251338.46,300640.97,271973.11,CAPEX
PJ-300-02-03,2027,5,297649.52,315766.36,336168.42,OPEX
PJ-300-02-03,2027,6,305343.77,319930.03,297418.71,OPEX
PJ-300-02-03,2027,7,284821.58,309531.27,305033.38,OPEX
PJ-300-02-03,2027,8,298182.91,306085.06,317030.25,CAPEX
PJ-300-02-03,2027,9,286028.87,256498.46,223303.74,CAPEX
PJ-300-02-03,2027,10,282914.44,255272.17,271348.3,OPEX
PJ-300-02-03,2027,11,240204.45,247718.23,252459.61,OPEX
PJ-300-02-03,2027,12,268938.26,325359.74,295097.38,OPEX
PJ-300-02-04,2027,1,151183.73,186973.97,197462.05,CAPEX
PJ-300-02-04,2027,2,180931.02,182500.57,148275.47,OPEX
PJ-300-02-04,2027,3,174460.87,200509.19,166009.89,CAPEX
PJ-300-02-04,2027,4,186257.21,231339.2,210993.23,OPEX
PJ-300-02-04,2027,5,174621.26,206863.92,173068.4,OPEX
PJ-300-02-04,2027,6,155068.75,147274.65,155569.58,CAPEX
PJ-300-02-04,2027,7,148691.35,167169.69,161356.05,CAPEX
PJ-300-02-04,2027,8,159507.61,144338.06,138258.61,OPEX
PJ-300-02-04,2027,9,178038.24,203002.03,155710.01,CAPEX
PJ-300-02-04,2027,10,167892.87,162302.97,134069.43,CAPEX
PJ-300-02-04,2027,11,154291.15,192491.92,160144.91,OPEX
PJ-300-02-04,2027,12,176984.36,206335.3,213852.89,CAPEX
PJ-300-02-05,2027,1,163749.81,203820.6,190050.05,OPEX
PJ-300-02-05,2027,2,138334.57,124854.47,135090.3,CAPEX
PJ-300-02-05,2027,3,152702.54,158515.04,146383.45,OPEX
PJ-300-02-05,2027,4,166633.55,188028.75,192735.41,OPEX
PJ-300-02-05,2027,5,155806.42,160645.12,137345.31,CAPEX
PJ-300-02-05,2027,6,158371.42,167113.84,175013.19,OPEX
PJ-300-02-05,2027,7,162923.6,152074.54,138700.92,CAPEX
PJ-300-02-05,2027,8,149894.77,185581.86,175384.2,CAPEX
PJ-300-02-05,2027,9,142215.48,138567.42,119942.86,CAPEX
PJ-300-02-05,2027,10,165778.94,197847.11,154788.14,CAPEX
PJ-300-02-05,2027,11,127344.72,129834.59,124867.03,CAPEX
PJ-300-02-05,2027,12,163633.37,155389.59,157968.09,CAPEX
PJ-300-03-01,2027,1,190954.6,232124.82,198725.73,CAPEX
PJ-300-03-01,2027,2,191137.8,181639.92,183368.47,OPEX
PJ-300-03-01,2027,3,235240.79,267558.57,266573.69,OPEX
PJ-300-03-01,2027,4,235283.79,255111.0,260578.0,OPEX
PJ-300-03-01,2027,5,207108.69,231967.3,199015.84,OPEX
PJ-300-03-01,2027,6,210031.55,223472.02,175316.68,OPEX
PJ-300-03-01,2027,7,225649.04,225307.48,184998.76,OPEX
PJ-300-03-01,2027,8,203824.64,221788.55,183518.04,CAPEX
PJ-300-03-01,2027,9,178861.11,194015.17,185170.25,OPEX
PJ-300-03-01,2027,10,196371.69,187061.89,155356.12,CAPEX
PJ-300-03-01,2027,11,209183.24,234746.47,232327.71,OPEX
PJ-300-03-01,2027,12,225757.74,239481.51,240258.69,OPEX
PJ-300-03-02,2027,1,182559.51,214350.59,173461.71,OPEX
PJ-300-03-02,2027,2,183521.34,221889.21,243326.65,CAPEX
PJ-300-03-02,2027,3,204194.33,243084.23,188637.17,CAPEX
PJ-300-03-02,2027,4,218815.46,225945.59,236088.43,CAPEX
PJ-300-03-02,2027,5,176461.21,165146.68,136502.3,OPEX
PJ-300-03-02,2027,6,195025.89,216205.51,212608.75,OPEX
PJ-300-03-02,2027,7,212425.9,188171.27,176179.94,OPEX
PJ-300-03-02,2027,8,173048.09,186179.77,157537.73,OPEX
PJ-300-03-02,2027,9,173369.94,204727.04,201842.75,CAPEX
PJ-300-03-02,2027,10,178836.19,163748.88,131345.29,CAPEX
PJ-300-03-02,2027,11,210023.24,204435.51,178687.76,OPEX
PJ-300-03-02,2027,12,177133.36,218749.11,199203.7,CAPEX
PJ-300-03-03,2027,1,261898.91,296756.45,310630.85,CAPEX
PJ-300-03-03,2027,2,250567.78,255661.25,241202.45,CAPEX
PJ-300-03-03,2027,3,297075.49,338681.72,263812.79,OPEX
PJ-300-03-03,2027,4,297774.0,298539.32,326024.41,CAPEX
PJ-300-03-03,2027,5,319166.7,389410.92,323373.95,OPEX
PJ-300-03-03,2027,6,265771.74,324756.84,321363.15,OPEX
PJ-300-03-03,2027,7,319553.7,347833.77,264880.85,OPEX
PJ-300-03-03,2027,8,243903.65,233330.06,186773.03,OPEX
PJ-300-03-03,2027,9,322084.63,319099.69,302310.38,OPEX
PJ-300-03-03,2027,10,300524.47,324568.86,287031.23,CAPEX
PJ-300-03-03,2027,11,310238.11,352134.18,273766.61,OPEX
PJ-300-03-03,2027,12,247160.13,257472.31,268681.66,OPEX
PJ-300-03-04,2027,1,273621.15,337456.31,299946.71,OPEX
PJ-300-03-04,2027,2,217460.42,213357.16,234139.22,OPEX
PJ-300-03-04,2027,3,232538.75,252217.1,222304.02,CAPEX
PJ-300-03-04,2027,4,266837.41,300044.96,234032.95,OPEX
PJ-300-03-04,2027,5,275827.65,315505.5,245688.33,CAPEX
PJ-300-03-04,2027,6,244073.63,285575.77,229602.04,OPEX
PJ-300-03-04,2027,7,239263.93,219984.96,165388.73,OPEX
PJ-300-03-04,2027,8,248990.75,289252.1,227288.8,CAPEX
PJ-300-03-04,2027,9,229443.78,240014.75,226612.09,OPEX
PJ-300-03-04,2027,10,223055.93,203685.52,192274.43,OPEX
PJ-300-03-04,2027,11,280815.19,248399.57,222276.27,CAPEX
PJ-300-03-04,2027,12,270266.77,293787.69,322418.94,CAPEX
PJ-300-03-05,2027,1,243110.79,275582.35,223035.85,OPEX
PJ-300-03-05,2027,2,227168.36,241356.36,186361.74,OPEX
PJ-300-03-05,2027,3,225344.23,223295.47,228639.67,OPEX
PJ-300-03-05,2027,4,223585.84,217155.14,210371.6,CAPEX
PJ-300-03-05,2027,5,238527.3,221861.66,166921.75,OPEX
PJ-300-03-05,2027,6,229421.3,254536.3,262535.55,OPEX
PJ-300-03-05,2027,7,237248.94,246579.47,256008.01,CAPEX
PJ-300-03-05,2027,8,227117.92,250553.8,248888.2,OPEX
PJ-300-03-05,2027,9,228114.3,282152.89,307279.69,OPEX
PJ-300-03-05,2027,10,258603.62,288129.41,313691.41,CAPEX
PJ-300-03-05,2027,11,228962.46,225232.91,230875.73,OPEX
PJ-300-03-05,2027,12,213598.01,232528.07,222594.34,CAPEX
